DR1F DR1H DR1O 
SP1H OG3H DR2H 
SP1O OG3F DR2H 
DG3H DP1O DR2F 
DG3O DP1H DR2F 
DG3F DP1F DR2F 
DG2H DP2O DR2F 
DG2O DP2H DR2F 
DG2F DP2F DR2F 
DG1H DP3O DR2F 
DG1O DP3H DR2F 
DG1F DP3F DR2F 
SR3H OR1O DR2F 
SR3O OR1H DR2F 
SR3F OR1F DR2F 
SR2H OR2O DR2F 
SR2O OR2H DR2F 
SR2F OR2F DR2F 
SR1H OR3O DR2F 
SR1O OR3H DR2F 
SR1F OR3F DR2F 
SG3H OP1O DR2F 
SG3O OP1H DR2F 
SG3F OP1F DR2F 
SG2H OP2O DR2F 
SG2O OP2H DR2F 
SG2F OP2F DR2F 
SG1H OP3O DR2F 
SG1O OP3H DR2F 
SG1F OP3F DR2F 
SP3H OG1O DR2F 
SP3O OG1H DR2F 
SP3F OG1F DR2F 
SP2H OG2O DR2F 
SP2O OG2H DR2F 
SP2F OG2F DR2F 
SP1H OG3O DR2F 
SP1O OG3H DR2F 
SP1F OG3F DR2F 
DR3F DR3H DR3O 
DG2O DP1O DR3O 
DG2F DP1H DR3O 
DG2H DP1F DR3O 
DG1O DP2O DR3O 
DG1F DP2H DR3O 
DG1H DP2F DR3O 
DG3O DP3O DR3O 
DG3F DP3H DR3O 
DG3H DP3F DR3O 
SR2O OR1O DR3O 
SR2F OR1H DR3O 
SR2H OR1F DR3O 
SR1O OR2O DR3O 
SR1F OR2H DR3O 
SR1H OR2F DR3O 
SR3O OR3O DR3O 
SR3F OR3H DR3O 
SR3H OR3F DR3O 
SG2O OP1O DR3O 
SG2F OP1H DR3O 
SG2H OP1F DR3O 
SG1O OP2O DR3O 
SG1F OP2H DR3O 
SG1H OP2F DR3O 
SG3O OP3O DR3O 
SG3F OP3H DR3O 
SG3H OP3F DR3O 
SP2O OG1O DR3O 
SP2F OG1H DR3O 
SP2H OG1F DR3O 
SP1O OG2O DR3O 
SP1F OG2H DR3O 
SP1H OG2F DR3O 
SP3O OG3O DR3O 
SP3F OG3H DR3O 
SP3H OG3F DR3O 
DG2F DP1O DR3H 
DG2H DP1H DR3H 
DG2O DP1F DR3H 
DG1F DP2O DR3H 
DG1H DP2H DR3H 
DG1O DP2F DR3H 
DG3F DP3O DR3H 
DG3H DP3H DR3H 
DG3O DP3F DR3H 
SR2F OR1O DR3H 
SR2H OR1H DR3H 
SR2O OR1F DR3H 
SR1F OR2O DR3H 
SR1H OR2H DR3H 
SR1O OR2F DR3H 
SR3F OR3O DR3H 
SR3H OR3H DR3H 
SR3O OR3F DR3H 
SG2F OP1O DR3H 
SG2H OP1H DR3H 
SG2O OP1F DR3H 
SG1F OP2O DR3H 
SG1H OP2H DR3H 
SG1O OP2F DR3H 
SG3F OP3O DR3H 
SG3H OP3H DR3H 
SG3O OP3F DR3H 
SP2F OG1O DR3H 
SP2H OG1H DR3H 
SP2O OG1F DR3H 
SP1F OG2O DR3H 
SP1H OG2H DR3H 
SP1O OG2F DR3H 
SP3F OG3O DR3H 
SP3H OG3H DR3H 
SP3O OG3F DR3H 
DG2H DP1O DR3F 
DG2O DP1H DR3F 
DG2F DP1F DR3F 
DG1H DP2O DR3F 
DG1O DP2H DR3F 
DG1F DP2F DR3F 
DG3H DP3O DR3F 
DG3O DP3H DR3F 
DG3F DP3F DR3F 
SR2H OR1O DR3F 
SR2O OR1H DR3F 
SR2F OR1F DR3F 
SR1H OR2O DR3F 
SR1O OR2H DR3F 
SR1F OR2F DR3F 
SR3H OR3O DR3F 
SR3O OR3H DR3F 
SR3F OR3F DR3F 
SG2H OP1O DR3F 
SG2O OP1H DR3F 
SG2F OP1F DR3F 
SG1H OP2O DR3F 
SG1O OP2H DR3F 
SG1F OP2F DR3F 
SG3H OP3O DR3F 
SG3O OP3H DR3F 
SG3F OP3F DR3F 
SP2H OG1O DR3F 
SP2O OG1H DR3F 
SP2F OG1F DR3F 
SP1H OG2O DR3F 
SP1O OG2H DR3F 
SP1F OG2F DR3F 
SP3H OG3O DR3F 
SP3O OG3H DR3F 
SP3F OG3F DR3F 
DP1F DP1H DP1O 
DP3O DP2O DP1O 
DP3F DP2H DP1O 
DP3H DP2F DP1O 
SG1O OR1O DP1O 
SG1F OR1H DP1O 
SG1H OR1F DP1O 
SG3O OR2O DP1O 
SG3F OR2H DP1O 
SG3H OR2F DP1O 
SG2O OR3O DP1O 
SG2F OR3H DP1O 
SG2H OR3F DP1O 
SP1O OP1O DP1O 
SP1F OP1H DP1O 
SP1H OP1F DP1O 
SP3O OP2O DP1O 
SP3F OP2H DP1O 
SP3H OP2F DP1O 
SP2O OP3O DP1O 
SP2F OP3H DP1O 
SP2H OP3F DP1O 
SR1O OG1O DP1O 
SR1F OG1H DP1O 
SR1H OG1F DP1O 
SR3O OG2O DP1O 
SR3F OG2H DP1O 
SR3H OG2F DP1O 
SR2O OG3O DP1O 
SR2F OG3H DP1O 
SR2H OG3F DP1O 
DP3F DP2O DP1H 
DP3H DP2H DP1H 
DP3O DP2F DP1H 
SG1F OR1O DP1H 
SG1H OR1H DP1H 
SG1O OR1F DP1H 
SG3F OR2O DP1H 
SG3H OR2H DP1H 
SG3O OR2F DP1H 
SG2F OR3O DP1H 
SG2H OR3H DP1H 
SG2O OR3F DP1H 
SP1F OP1O DP1H 
SP1H OP1H DP1H 
SP1O OP1F DP1H 
SP3F OP2O DP1H 
SP3H OP2H DP1H 
SP3O OP2F DP1H 
SP2F OP3O DP1H 
SP2H OP3H DP1H 
SP2O OP3F DP1H 
SR1F OG1O DP1H 
SR1H OG1H DP1H 
SR1O OG1F DP1H 
SR3F OG2O DP1H 
SR3H OG2H DP1H 
SR3O OG2F DP1H 
SR2F OG3O DP1H 
SR2H OG3H DP1H 
SR2O OG3F DP1H 
DP3H DP2O DP1F 
DP3O DP2H DP1F 
DP3F DP2F DP1F 
SG1H OR1O DP1F 
SG1O OR1H DP1F 
SG1F OR1F DP1F 
SG3H OR2O DP1F 
SG3O OR2H DP1F 
SG3F OR2F DP1F 
SG2H OR3O DP1F 
SG2O OR3H DP1F 
SG2F OR3F DP1F 
SP1H OP1O DP1F 
SP1O OP1H DP1F 
SP1F OP1F DP1F 
SP3H OP2O DP1F 
SP3O OP2H DP1F 
SP3F OP2F DP1F 
SP2H OP3O DP1F 
SP2O OP3H DP1F 
SP2F OP3F DP1F 
SR1H OG1O DP1F 
SR1O OG1H DP1F 
SR1F OG1F DP1F 
SR3H OG2O DP1F 
SR3O OG2H DP1F 
SR3F OG2F DP1F 
SR2H OG3O DP1F 
SR2O OG3H DP1F 
SR2F OG3F DP1F 
DP2F DP2H DP2O 
SG3O OR1O DP2O 
SG3F OR1H DP2O 
SG3H OR1F DP2O 
SG2O OR2O DP2O 
SG2F OR2H DP2O 
SG2H OR2F DP2O 
SG1O OR3O DP2O 
SG1F OR3H DP2O 
SG1H OR3F DP2O 
SP3O OP1O DP2O 
SP3F OP1H DP2O 
SP3H OP1F DP2O 
SP2O OP2O DP2O 
SP2F OP2H DP2O 
SP2H OP2F DP2O 
SP1O OP3O DP2O 
SP1F OP3H DP2O 
SP1H OP3F DP2O 
SR3O OG1O DP2O 
SR3F OG1H DP2O 
SR3H OG1F DP2O 
SR2O OG2O DP2O 
SR2F OG2H DP2O 
SR2H OG2F DP2O 
SR1O OG3O DP2O 
SR1F OG3H DP2O 
SR1H OG3F DP2O 
SG3F OR1O DP2H 
SG3H OR1H DP2H 
SG3O OR1F DP2H 
SG2F OR2O DP2H 
SG2H OR2H DP2H 
SG2O OR2F DP2H 
SG1F OR3O DP2H 
SG1H OR3H DP2H 
SG1O OR3F DP2H 
SP3F OP1O DP2H 
SP3H OP1H DP2H 
SP3O OP1F DP2H 
SP2F OP2O DP2H 
SP2H OP2H DP2H 
SP2O OP2F DP2H 
SP1F OP3O DP2H 
SP1H OP3H DP2H 
SP1O OP3F DP2H 
SR3F OG1O DP2H 
SR3H OG1H DP2H 
SR3O OG1F DP2H 
SR2F OG2O DP2H 
SR2H OG2H DP2H 
SR2O OG2F DP2H 
SR1F OG3O DP2H 
SR1H OG3H DP2H 
SR1O OG3F DP2H 
SG3H OR1O DP2F 
SG3O OR1H DP2F 
SG3F OR1F DP2F 
SG2H OR2O DP2F 
SG2O OR2H DP2F 
SG2F OR2F DP2F 
SG1H OR3O DP2F 
SG1O OR3H DP2F 
SG1F OR3F DP2F 
SP3H OP1O DP2F 
SP3O OP1H DP2F 
SP3F OP1F DP2F 
SP2H OP2O DP2F 
SP2O OP2H DP2F 
SP2F OP2F DP2F 
SP1H OP3O DP2F 
SP1O OP3H DP2F 
SP1F OP3F DP2F 
SR3H OG1O DP2F 
SR3O OG1H DP2F 
SR3F OG1F DP2F 
SR2H OG2O DP2F 
SR2O OG2H DP2F 
SR2F OG2F DP2F 
SR1H OG3O DP2F 
SR1O OG3H DP2F 
SR1F OG3F DP2F 
DP3F DP3H DP3O 
SG2O OR1O DP3O 
SG2F OR1H DP3O 
SG2H OR1F DP3O 
SG1O OR2O DP3O 
SG1F OR2H DP3O 
SG1H OR2F DP3O 
SG3O OR3O DP3O 
SG3F OR3H DP3O 
SG3H OR3F DP3O 
SP2O OP1O DP3O 
SP2F OP1H DP3O 
SP2H OP1F DP3O 
SP1O OP2O DP3O 
SP1F OP2H DP3O 
SP1H OP2F DP3O 
SP3O OP3O DP3O 
SP3F OP3H DP3O 
SP3H OP3F DP3O 
SR2O OG1O DP3O 
SR2F OG1H DP3O 
SR2H OG1F DP3O 
SR1O OG2O DP3O 
SR1F OG2H DP3O 
SR1H OG2F DP3O 
SR3O OG3O DP3O 
SR3F OG3H DP3O 
SR3H OG3F DP3O 
SG2F OR1O DP3H 
SG2H OR1H DP3H 
SG2O OR1F DP3H 
SG1F OR2O DP3H 
SG1H OR2H DP3H 
SG1O OR2F DP3H 
SG3F OR3O DP3H 
SG3H OR3H DP3H 
SG3O OR3F DP3H 
SP2F OP1O DP3H 
SP2H OP1H DP3H 
SP2O OP1F DP3H 
SP1F OP2O DP3H 
SP1H OP2H DP3H 
SP1O OP2F DP3H 
SP3F OP3O DP3H 
SP3H OP3H DP3H 
SP3O OP3F DP3H 
SR2F OG1O DP3H 
SR2H OG1H DP3H 
SR2O OG1F DP3H 
SR1F OG2O DP3H 
SR1H OG2H DP3H 
SR1O OG2F DP3H 
SR3F OG3O DP3H 
SR3H OG3H DP3H 
SR3O OG3F DP3H 
SG2H OR1O DP3F 
SG2O OR1H DP3F 
SG2F OR1F DP3F 
SG1H OR2O DP3F 
SG1O OR2H DP3F 
SG1F OR2F DP3F 
SG3H OR3O DP3F 
SG3O OR3H DP3F 
SG3F OR3F DP3F 
SP2H OP1O DP3F 
SP2O OP1H DP3F 
SP2F OP1F DP3F 
SP1H OP2O DP3F 
SP1O OP2H DP3F 
SP1F OP2F DP3F 
SP3H OP3O DP3F 
SP3O OP3H DP3F 
SP3F OP3F DP3F 
SR2H OG1O DP3F 
SR2O OG1H DP3F 
SR2F OG1F DP3F 
SR1H OG2O DP3F 
SR1O OG2H DP3F 
SR1F OG2F DP3F 
SR3H OG3O DP3F 
SR3O OG3H DP3F 
SR3F OG3F DP3F 
DG1F DG1H DG1O 
DG3O DG2O DG1O 
DG3F DG2H DG1O 
DG3H DG2F DG1O 
SP1O OR1O DG1O 
SP1F OR1H DG1O 
SP1H OR1F DG1O 
SP3O OR2O DG1O 
SP3F OR2H DG1O 
SP3H OR2F DG1O 
SP2O OR3O DG1O 
SP2F OR3H DG1O 
SP2H OR3F DG1O 
SR1O OP1O DG1O 
SR1F OP1H DG1O 
SR1H OP1F DG1O 
SR3O OP2O DG1O 
SR3F OP2H DG1O 
SR3H OP2F DG1O 
SR2O OP3O DG1O 
SR2F OP3H DG1O 
SR2H OP3F DG1O 
SG1O OG1O DG1O 
SG1F OG1H DG1O 
SG1H OG1F DG1O 
SG3O OG2O DG1O 
SG3F OG2H DG1O 
SG3H OG2F DG1O 
SG2O OG3O DG1O 
SG2F OG3H DG1O 
SG2H OG3F DG1O 
DG3F DG2O DG1H 
DG3H DG2H DG1H 
DG3O DG2F DG1H 
SP1F OR1O DG1H 
SP1H OR1H DG1H 
SP1O OR1F DG1H 
SP3F OR2O DG1H 
SP3H OR2H DG1H 
SP3O OR2F DG1H 
SP2F OR3O DG1H 
SP2H OR3H DG1H 
SP2O OR3F DG1H 
SR1F OP1O DG1H 
SR1H OP1H DG1H 
SR1O OP1F DG1H 
SR3F OP2O DG1H 
SR3H OP2H DG1H 
SR3O OP2F DG1H 
SR2F OP3O DG1H 
SR2H OP3H DG1H 
SR2O OP3F DG1H 
SG1F OG1O DG1H 
SG1H OG1H DG1H 
SG1O OG1F DG1H 
SG3F OG2O DG1H 
SG3H OG2H DG1H 
SG3O OG2F DG1H 
SG2F OG3O DG1H 
SG2H OG3H DG1H 
SG2O OG3F DG1H 
DG3H DG2O DG1F 
DG3O DG2H DG1F 
DG3F DG2F DG1F 
SP1H OR1O DG1F 
SP1O OR1H DG1F 
SP1F OR1F DG1F 
SP3H OR2O DG1F 
SP3O OR2H DG1F 
SP3F OR2F DG1F 
SP2H OR3O DG1F 
SP2O OR3H DG1F 
SP2F OR3F DG1F 
SR1H OP1O DG1F 
SR1O OP1H DG1F 
SR1F OP1F DG1F 
SR3H OP2O DG1F 
SR3O OP2H DG1F 
SR3F OP2F DG1F 
SR2H OP3O DG1F 
SR2O OP3H DG1F 
SR2F OP3F DG1F 
SG1H OG1O DG1F 
SG1O OG1H DG1F 
SG1F OG1F DG1F 
SG3H OG2O DG1F 
SG3O OG2H DG1F 
SG3F OG2F DG1F 
SG2H OG3O DG1F 
SG2O OG3H DG1F 
SG2F OG3F DG1F 
DG2F DG2H DG2O 
SP3O OR1O DG2O 
SP3F OR1H DG2O 
SP3H OR1F DG2O 
SP2O OR2O DG2O 
SP2F OR2H DG2O 
SP2H OR2F DG2O 
SP1O OR3O DG2O 
SP1F OR3H DG2O 
SP1H OR3F DG2O 
SR3O OP1O DG2O 
SR3F OP1H DG2O 
SR3H OP1F DG2O 
SR2O OP2O DG2O 
SR2F OP2H DG2O 
SR2H OP2F DG2O 
SR1O OP3O DG2O 
SR1F OP3H DG2O 
SR1H OP3F DG2O 
SG3O OG1O DG2O 
SG3F OG1H DG2O 
SG3H OG1F DG2O 
SG2O OG2O DG2O 
SG2F OG2H DG2O 
SG2H OG2F DG2O 
SG1O OG3O DG2O 
SG1F OG3H DG2O 
SG1H OG3F DG2O 
SP3F OR1O DG2H 
SP3H OR1H DG2H 
SP3O OR1F DG2H 
SP2F OR2O DG2H 
SP2H OR2H DG2H 
SP2O OR2F DG2H 
SP1F OR3O DG2H 
SP1H OR3H DG2H 
SP1O OR3F DG2H 
SR3F OP1O DG2H 
SR3H OP1H DG2H 
SR3O OP1F DG2H 
SR2F OP2O DG2H 
SR2H OP2H DG2H 
SR2O OP2F DG2H 
SR1F OP3O DG2H 
SR1H OP3H DG2H 
SR1O OP3F DG2H 
SG3F OG1O DG2H 
SG3H OG1H DG2H 
SG3O OG1F DG2H 
SG2F OG2O DG2H 
SG2H OG2H DG2H 
SG2O OG2F DG2H 
SG1F OG3O DG2H 
SG1H OG3H DG2H 
SG1O OG3F DG2H 
SP3H OR1O DG2F 
SP3O OR1H DG2F 
SP3F OR1F DG2F 
SP2H OR2O DG2F 
SP2O OR2H DG2F 
SP2F OR2F DG2F 
SP1H OR3O DG2F 
SP1O OR3H DG2F 
SP1F OR3F DG2F 
SR3H OP1O DG2F 
SR3O OP1H DG2F 
SR3F OP1F DG2F 
SR2H OP2O DG2F 
SR2O OP2H DG2F 
SR2F OP2F DG2F 
SR1H OP3O DG2F 
SR1O OP3H DG2F 
SR1F OP3F DG2F 
SG3H OG1O DG2F 
SG3O OG1H DG2F 
SG3F OG1F DG2F 
SG2H OG2O DG2F 
SG2O OG2H DG2F 
SG2F OG2F DG2F 
SG1H OG3O DG2F 
SG1O OG3H DG2F 
SG1F OG3F DG2F 
DG3F DG3H DG3O 
SP2O OR1O DG3O 
SP2F OR1H DG3O 
SP2H OR1F DG3O 
SP1O OR2O DG3O 
SP1F OR2H DG3O 
SP1H OR2F DG3O 
SP3O OR3O DG3O 
SP3F OR3H DG3O 
SP3H OR3F DG3O 
SR2O OP1O DG3O 
SR2F OP1H DG3O 
SR2H OP1F DG3O 
SR1O OP2O DG3O 
SR1F OP2H DG3O 
SR1H OP2F DG3O 
SR3O OP3O DG3O 
SR3F OP3H DG3O 
SR3H OP3F DG3O 
SG2O OG1O DG3O 
SG2F OG1H DG3O 
SG2H OG1F DG3O 
SG1O OG2O DG3O 
SG1F OG2H DG3O 
SG1H OG2F DG3O 
SG3O OG3O DG3O 
SG3F OG3H DG3O 
SG3H OG3F DG3O 
SP2F OR1O DG3H 
SP2H OR1H DG3H 
SP2O OR1F DG3H 
SP1F OR2O DG3H 
SP1H OR2H DG3H 
SP1O OR2F DG3H 
SP3F OR3O DG3H 
SP3H OR3H DG3H 
SP3O OR3F DG3H 
SR2F OP1O DG3H 
SR2H OP1H DG3H 
SR2O OP1F DG3H 
SR1F OP2O DG3H 
SR1H OP2H DG3H 
SR1O OP2F DG3H 
SR3F OP3O DG3H 
SR3H OP3H DG3H 
SR3O OP3F DG3H 
SG2F OG1O DG3H 
SG2H OG1H DG3H 
SG2O OG1F DG3H 
SG1F OG2O DG3H 
SG1H OG2H DG3H 
SG1O OG2F DG3H 
SG3F OG3O DG3H 
SG3H OG3H DG3H 
SG3O OG3F DG3H 
SP2H OR1O DG3F 
SP2O OR1H DG3F 
SP2F OR1F DG3F 
SP1H OR2O DG3F 
SP1O OR2H DG3F 
SP1F OR2F DG3F 
SP3H OR3O DG3F 
SP3O OR3H DG3F 
SP3F OR3F DG3F 
SR2H OP1O DG3F 
SR2O OP1H DG3F 
SR2F OP1F DG3F 
SR1H OP2O DG3F 
SR1O OP2H DG3F 
SR1F OP2F DG3F 
SR3H OP3O DG3F 
SR3O OP3H DG3F 
SR3F OP3F DG3F 
SG2H OG1O DG3F 
SG2O OG1H DG3F 
SG2F OG1F DG3F 
SG1H OG2O DG3F 
SG1O OG2H DG3F 
SG1F OG2F DG3F 
SG3H OG3O DG3F 
SG3O OG3H DG3F 
SG3F OG3F DG3F 
OR1F OR1H OR1O 
OR3O OR2O OR1O 
OR3F OR2H OR1O 
OR3H OR2F OR1O 
OG1O OP1O OR1O 
OG1F OP1H OR1O 
OG1H OP1F OR1O 
OG3O OP2O OR1O 
OG3F OP2H OR1O 
OG3H OP2F OR1O 
OG2O OP3O OR1O 
OG2F OP3H OR1O 
OG2H OP3F OR1O 
OR3F OR2O OR1H 
OR3H OR2H OR1H 
OR3O OR2F OR1H 
OG1F OP1O OR1H 
OG1H OP1H OR1H 
OG1O OP1F OR1H 
OG3F OP2O OR1H 
OG3H OP2H OR1H 
OG3O OP2F OR1H 
OG2F OP3O OR1H 
OG2H OP3H OR1H 
OG2O OP3F OR1H 
OR3H OR2O OR1F 
OR3O OR2H OR1F 
OR3F OR2F OR1F 
OG1H OP1O OR1F 
OG1O OP1H OR1F 
OG1F OP1F OR1F 
OG3H OP2O OR1F 
OG3O OP2H OR1F 
OG3F OP2F OR1F 
OG2H OP3O OR1F 
OG2O OP3H OR1F 
OG2F OP3F OR1F 
OR2F OR2H OR2O 
OG3O OP1O OR2O 
OG3F OP1H OR2O 
OG3H OP1F OR2O 
OG2O OP2O OR2O 
OG2F OP2H OR2O 
OG2H OP2F OR2O 
OG1O OP3O OR2O 
OG1F OP3H OR2O 
OG1H OP3F OR2O 
OG3F OP1O OR2H 
OG3H OP1H OR2H 
OG3O OP1F OR2H 
OG2F OP2O OR2H 
OG2H OP2H OR2H 
OG2O OP2F OR2H 
OG1F OP3O OR2H 
OG1H OP3H OR2H 
OG1O OP3F OR2H 
OG3H OP1O OR2F 
OG3O OP1H OR2F 
OG3F OP1F OR2F 
OG2H OP2O OR2F 
OG2O OP2H OR2F 
OG2F OP2F OR2F 
OG1H OP3O OR2F 
OG1O OP3H OR2F 
OG1F OP3F OR2F 
OR3F OR3H OR3O 
OG2O OP1O OR3O 
OG2F OP1H OR3O 
OG2H OP1F OR3O 
OG1O OP2O OR3O 
OG1F OP2H OR3O 
OG1H OP2F OR3O 
OG3O OP3O OR3O 
OG3F OP3H OR3O 
OG3H OP3F OR3O 
OG2F OP1O OR3H 
OG2H OP1H OR3H 
OG2O OP1F OR3H 
OG1F OP2O OR3H 
OG1H OP2H OR3H 
OG1O OP2F OR3H 
OG3F OP3O OR3H 
OG3H OP3H OR3H 
OG3O OP3F OR3H 
OG2H OP1O OR3F 
OG2O OP1H OR3F 
OG2F OP1F OR3F 
OG1H OP2O OR3F 
OG1O OP2H OR3F 
OG1F OP2F OR3F 
OG3H OP3O OR3F 
OG3O OP3H OR3F 
OG3F OP3F OR3F 
OP1F OP1H OP1O 
OP3O OP2O OP1O 
OP3F OP2H OP1O 
OP3H OP2F OP1O 
OP3F OP2O OP1H 
OP3H OP2H OP1H 
OP3O OP2F OP1H 
OP3H OP2O OP1F 
OP3O OP2H OP1F 
OP3F OP2F OP1F 
OP2F OP2H OP2O 
OP3F OP3H OP3O 
OG1F OG1H OG1O 
OG3O OG2O OG1O 
OG3F OG2H OG1O 
OG3H OG2F OG1O 
OG3F OG2O OG1H 
OG3H OG2H OG1H 
OG3O OG2F OG1H 
OG3H OG2O OG1F 
OG3O OG2H OG1F 
OG3F OG2F OG1F 
OG2F OG2H OG2O 
OG3F OG3H OG3O 
SR1F SR1H SR1O 
SR3O SR2O SR1O 
SR3F SR2H SR1O 
SR3H SR2F SR1O 
SG1O SP1O SR1O 
SG1F SP1H SR1O 
SG1H SP1F SR1O 
SG3O SP2O SR1O 
SG3F SP2H SR1O 
SG3H SP2F SR1O 
SG2O SP3O SR1O 
SG2F SP3H SR1O 
SG2H SP3F SR1O 
SR3F SR2O SR1H 
SR3H SR2H SR1H 
SR3O SR2F SR1H 
SG1F SP1O SR1H 
SG1H SP1H SR1H 
SG1O SP1F SR1H 
SG3F SP2O SR1H 
SG3H SP2H SR1H 
SG3O SP2F SR1H 
SG2F SP3O SR1H 
SG2H SP3H SR1H 
SG2O SP3F SR1H 
SR3H SR2O SR1F 
SR3O SR2H SR1F 
SR3F SR2F SR1F 
SG1H SP1O SR1F 
SG1O SP1H SR1F 
SG1F SP1F SR1F 
SG3H SP2O SR1F 
SG3O SP2H SR1F 
SG3F SP2F SR1F 
SG2H SP3O SR1F 
SG2O SP3H SR1F 
